Lookup_7_digit_VIN,1,Production Year,Brand Name,Series ,Badge,Body Code,Body Style,Cylinders,Drive Line,AWD/RWD,Fuel,Product Name
8055241,29,1982,BMW,3 SERIES ,320is,e21,Coupe,4 cyl,Manual,RWD,Gas,1) AVAILABLE PROJECT - 8055241 BMW E21 320is M10 5spd 3 Series 2 Dr Coupe Built Sept 1982 - Complete Running - Call or email Offers
8056241,31,1982,BMW,3 SERIES,320i,e21,Coupe,4 cyl,Manual,RWD,Gas,"DISMANTLED - e21 8056241 C PROJECT CAR BMW E21 320i 8056241 WITH OEM SPORT ""is"" PACKAGE"
8066196,32,1981,BMW,3 SERIES,320i,e21,Coupe,4 cyl,Automatic,RWD,Gas,DISMANTLED - e21 8066196 V BMW e21 320i M10 4 cyl Auto BUILT OCT 1981 2 DR  8066196
8066196,32,1981,BMW,3 SERIES,320i,e21,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - V_4 BMW e21 320i sedan 1975 1982 M10 6 cyl Auto Part out Euro All Parts Euro All Parts V_4 e21 32- B
8251620,34,1987,BMW,3 SERIES,325is,e30,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e30 8251620 Coupe V BMW e30 325is Built July 1987 6 cyl M20 Manual 5 Spd 8251620
8423659,35,1983,BMW,3 SERIES,318i,e30,Coupe,4 cyl,Automatic,RWD,Gas,DISMANTLED - e30 8423659 Coupe V BMW e30 318i 2DR  Built July 1983 M10 4 cyl Automatic Black 8423659
8717841,36,1984,BMW,3 SERIES,318i,e30,Coupe,4 cyl,Manual,RWD,Gas,DISMANTLED - e30 8717841 Coupe V BMW e30 4Cyl M10 5 Spd Feb 1984  Black 8717841
8779149,37,1984,BMW,3 SERIES,318i,e30,Coupe,4 cyl,Automatic,RWD,Gas,DISMANTLED - e30 8779149 Coupe V BMW E30  318i M10 4cyl Sept 1984 Auto Bronze 8779149
8824288,38,1988,BMW,3 SERIES,325e,e30,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - E30 J8824288 Sedan V BMW e30 325e  4dr March 1988 M20 6 cyl Auto 8824288
8847474,39,1988,BMW,3 SERIES,325i,e30,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - e30 8847474 Sedan V BMW E30 325I Nov 1988 M20 6 CYL AUTO  8847474
8865536,40,1988,BMW,3 SERIES,325e,e30,Coupe,6 cyl,Manual,RWD,Gas,DISMANTLED - e30 8865536 Coupe V BMW E30 325e  M20 6 cyl Jan 1988 5 Speed 8865536
9681012,41,1986,BMW,3 SERIES,325,e30,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e30 9681012 Sedan V BMW e30 325 1986  5-Spd M20 6 cyl feb 1986 9681012
9691477,42,1986,BMW,3 SERIES,325e,e30,Coupe,6 cyl,Manual,RWD,Gas,DISMANTLED - e30 9691477 Coupe V BMW e30 325e 2 DR  6 Cyl M20 Built June 1986 5 SPD MANUAL Red Rear Cut 9691477
9712969,43,1987,BMW,5 SERIES,528e,e28,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - e28 9712969 Sedan Jay BMW e28 528e Built Feb 1987 6 cyl M20 M20B27 Auto 9712969 1980-1990 9712969
9804217,44,1987,BMW,3 SERIES,325e,e30,Coupe,6 cyl,Manual,RWD,Gas,DISMANTLED - e30 9804217 Coupe D BMW E30 325e  1987 M20B27 5 SPEED MANUAL ZINNOBERROT ON BLACK HIT FRONT LEFT
9804449,45,1987,BMW,3 SERIES,325e,e30,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e30 9804449 Coupe S BMW e30 325e  2dr Built March 1987 6 cyl M20 5 Speed 9804449
A006819,46,2007,BMW,3 SERIES,335xi,e90,Sedan,6 cyl,Automatic,AWD,Gas,DISMANTLED - e90 A006819 C 2007-2008 BMW E90 335xi AWD  AUTOMATIC N54 ALPINE WHITE ON EARTH DAKODA LEATHER
A016051,47,1998,AUDI,,A4,B5,Coupe,6 cyl,Manual,AWD,Gas,DISMANTLED - A4 A016051 S Audi A4 1998 Silver V5 engine Silver 5 Spd Manual A016051
A025019,48,2006,MERCEDES-BENZ,C-Class,CL500,C215,Coupe,V8,Automatic,RWD,Gas,DISMANTLED CH A025019 2006 Mercedes-Benz C215 CL500 COUPE BLACK ON GRAY
A041247,49,2006,Mercedes-Benz,S-Class,CLS500,W219,Sedan,V8,Automatic,RWD,Gas,DISMANTLED - W219 A041247 A041247 CH BMW Mercedes Benz w219 CLS500 2006 M 113 E50 722.901 ALABASTER WHITE
A131328,50,2007,AUDI,,A4,B7,Sedan,4 cyl,Manual,AWD,Gas,DISMANTLED - A4 A131328 A131328 CH Audi Black A4 Quattro 2007 AWD 4Cyl 2.0L L4 DOHC 16Valve V6 6speed manual
A196897,51,2006,AUDI,,A4,B7,Sedan,4 cyl,Automatic,AWD,Gas,DISMANTLED - A4 A196897 A196897 CH AUDI 2.0L Turbo 2006 grey A4 Quattro S-Line
A265287,52,2008,BMW,3 SERIES,335d,e90,Sedan,6 cyl,Automatic,RWD,Diesil,DISMANTLED - e90 A265287 C BMW e90 LCI 335d 4 dr  Nov 2008  A265287 DIESIL Engine Auto
